Date,MaxT,WS_Name
26835,,THYBOROEN
26837,,COPENHAGEN KASTRUP
26838,,COPENHAGEN KASTRUP
26838,26,AALBORG
26839,24,AALBORG
26843,,THYBOROEN
26845,,SKAGEN
26845,23,AALBORG
26846,,SKAGEN
26849,,THYBOROEN
26855,,COPENHAGEN KASTRUP
26856,,THYBOROEN
26856,22,AALBORG
26857,24,AALBORG
26862,,SKAGEN
26863,,SKAGEN
26864,,SKAGEN
26866,19,AALBORG
26867,,THYBOROEN
26867,,COPENHAGEN KASTRUP
26868,21,AALBORG
26746,,THYBOROEN
26748,,THYBOROEN
26752,9,AALBORG
26753,,THYBOROEN
26754,9,AALBORG
26757,,SKAGEN
26757,,THYBOROEN
26761,,COPENHAGEN KASTRUP
26762,,COPENHAGEN KASTRUP
26764,,COPENHAGEN KASTRUP
26766,,SKAGEN
26766,,THYBOROEN
26767,,COPENHAGEN KASTRUP
26768,,SKAGEN
26768,8,AALBORG
26769,,COPENHAGEN KASTRUP
26769,,THYBOROEN
26769,12,AALBORG
26774,,COPENHAGEN KASTRUP
26774,,THYBOROEN
26774,9,AALBORG
26775,,SKAGEN
26776,,COPENHAGEN KASTRUP
26776,,SKAGEN
26778,,THYBOROEN
26780,,THYBOROEN
26782,,SKAGEN
26783,10,AALBORG
26899,,SKAGEN
26899,,THYBOROEN
26902,,COPENHAGEN KASTRUP
26903,24,AALBORG
26909,,COPENHAGEN KASTRUP
26913,,THYBOROEN
26916,,COPENHAGEN KASTRUP
26917,,SKAGEN
26920,,THYBOROEN
26924,,SKAGEN
26924,,THYBOROEN
26927,,COPENHAGEN KASTRUP
26927,,SKAGEN
26928,16,AALBORG
26929,,THYBOROEN
26932,,COPENHAGEN KASTRUP
26934,11,AALBORG
26935,,THYBOROEN
26936,,THYBOROEN
26936,13,AALBORG
26937,15,AALBORG
26938,,THYBOROEN
26941,,COPENHAGEN KASTRUP
26942,,SKAGEN
26943,,SKAGEN
26943,,THYBOROEN
26946,,THYBOROEN
26949,,SKAGEN
26871,22,AALBORG
26873,,COPENHAGEN KASTRUP
26878,,SKAGEN
26879,25,AALBORG
26880,,SKAGEN
26880,,THYBOROEN
26881,,COPENHAGEN KASTRUP
26885,,THYBOROEN
26887,,COPENHAGEN KASTRUP
26888,,COPENHAGEN KASTRUP
26889,24,AALBORG
26895,,SKAGEN
26896,,SKAGEN
26896,,THYBOROEN
26902,,THYBOROEN
26903,,THYBOROEN
26905,,COPENHAGEN KASTRUP
26906,,COPENHAGEN KASTRUP
26908,,COPENHAGEN KASTRUP
26912,,SKAGEN
26913,,SKAGEN
26914,,SKAGEN
26914,17,AALBORG
26915,21,AALBORG
26916,,THYBOROEN
26917,,THYBOROEN
26920,,COPENHAGEN KASTRUP
26922,20,AALBORG
26855,19,AALBORG
26856,,COPENHAGEN KASTRUP
26856,,SKAGEN
26859,,THYBOROEN
26861,,THYBOROEN
26864,,COPENHAGEN KASTRUP
26864,20,AALBORG
26865,18,AALBORG
26866,,COPENHAGEN KASTRUP
26870,,SKAGEN
26876,,THYBOROEN
26877,,THYBOROEN
26878,,COPENHAGEN KASTRUP
26878,,THYBOROEN
26880,20,AALBORG
26887,,SKAGEN
26889,,SKAGEN
26891,,THYBOROEN
26893,,THYBOROEN
26902,21,AALBORG
26904,,SKAGEN
26907,,SKAGEN
26908,17,AALBORG
26909,17,AALBORG
26912,,COPENHAGEN KASTRUP
26914,,COPENHAGEN KASTRUP
26917,17,AALBORG
26921,,SKAGEN
26862,21,AALBORG
26868,,THYBOROEN
26869,,THYBOROEN
26870,,COPENHAGEN KASTRUP
26871,,COPENHAGEN KASTRUP
26872,,COPENHAGEN KASTRUP
26872,,THYBOROEN
26879,,SKAGEN
26881,,THYBOROEN
26881,,SKAGEN
26881,19,AALBORG
26884,17,AALBORG
26887,,THYBOROEN
26889,,COPENHAGEN KASTRUP
26890,,COPENHAGEN KASTRUP
26893,27,AALBORG
26897,,SKAGEN
26898,,SKAGEN
26900,,THYBOROEN
26900,19,AALBORG
26901,,THYBOROEN
26904,,COPENHAGEN KASTRUP
26907,,THYBOROEN
26911,,SKAGEN
26916,17,AALBORG
26918,,THYBOROEN
26918,15,AALBORG
26919,,THYBOROEN
26923,,COPENHAGEN KASTRUP
26923,18,AALBORG
26932,,THYBOROEN
26934,,THYBOROEN
26937,,COPENHAGEN KASTRUP
26937,,SKAGEN
26938,,COPENHAGEN KASTRUP
26945,,SKAGEN
26950,8,AALBORG
26952,,THYBOROEN
26953,,THYBOROEN
26954,,THYBOROEN
26956,8,AALBORG
26957,,SKAGEN
26957,7,AALBORG
26962,,SKAGEN
26963,,SKAGEN
26964,,SKAGEN
26964,,THYBOROEN
26965,7,AALBORG
26966,,THYBOROEN
26967,12,AALBORG
26969,7,AALBORG
26970,,COPENHAGEN KASTRUP
26970,,THYBOROEN
26972,10,AALBORG
26973,11,AALBORG
26978,,SKAGEN
26979,,SKAGEN
26825,,SKAGEN
26826,14,AALBORG
26828,,COPENHAGEN KASTRUP
26828,,THYBOROEN
26830,,COPENHAGEN KASTRUP
26833,,SKAGEN
26837,,SKAGEN
26839,,SKAGEN
26841,,THYBOROEN
26845,,COPENHAGEN KASTRUP
26846,24,AALBORG
26847,,COPENHAGEN KASTRUP
26854,,SKAGEN
26855,,SKAGEN
26858,,THYBOROEN
26860,,THYBOROEN
26861,24,AALBORG
26862,,COPENHAGEN KASTRUP
26862,,THYBOROEN
26863,20,AALBORG
26865,,COPENHAGEN KASTRUP
26869,,SKAGEN
26872,21,AALBORG
26873,,SKAGEN
26875,,THYBOROEN
26879,,COPENHAGEN KASTRUP
26882,,COPENHAGEN KASTRUP
26882,24,AALBORG
26923,,SKAGEN
26925,,THYBOROEN
26925,,SKAGEN
26926,,COPENHAGEN KASTRUP
26936,,COPENHAGEN KASTRUP
26937,,THYBOROEN
26938,,SKAGEN
26947,,SKAGEN
26948,,COPENHAGEN KASTRUP
26953,,SKAGEN
26955,,SKAGEN
26955,,THYBOROEN
26955,5,AALBORG
26959,,THYBOROEN
26963,,COPENHAGEN KASTRUP
26965,,COPENHAGEN KASTRUP
26970,,SKAGEN
26972,,SKAGEN
26974,,SKAGEN
26975,,COPENHAGEN KASTRUP
26978,,THYBOROEN
26982,,COPENHAGEN KASTRUP
26983,,COPENHAGEN KASTRUP
26986,5,AALBORG
26987,,THYBOROEN
26988,7,AALBORG
26989,,SKAGEN
26990,,THYBOROEN
26949,,THYBOROEN
26952,,COPENHAGEN KASTRUP
26958,,COPENHAGEN KASTRUP
26959,,COPENHAGEN KASTRUP
26960,,SKAGEN
26960,,THYBOROEN
26963,,THYBOROEN
26966,,COPENHAGEN KASTRUP
26966,11,AALBORG
26967,,SKAGEN
26973,,THYBOROEN
26976,,THYBOROEN
26982,3,AALBORG
26984,,COPENHAGEN KASTRUP
26985,,SKAGEN
26989,4,AALBORG
26992,10,AALBORG
26993,3,AALBORG
26996,,THYBOROEN
26996,,COPENHAGEN KASTRUP
26999,,SKAGEN
27001,,SKAGEN
27002,,COPENHAGEN KASTRUP
27002,,THYBOROEN
27004,,SKAGEN
27004,,COPENHAGEN KASTRUP
27005,,THYBOROEN
27007,1,AALBORG
26921,,COPENHAGEN KASTRUP
26922,,COPENHAGEN KASTRUP
26925,16,AALBORG
26926,15,AALBORG
26927,,THYBOROEN
26930,,SKAGEN
26931,14,AALBORG
26932,11,AALBORG
26938,14,AALBORG
26939,,COPENHAGEN KASTRUP
26940,,COPENHAGEN KASTRUP
26941,17,AALBORG
26942,17,AALBORG
26945,14,AALBORG
26948,,SKAGEN
26950,,THYBOROEN
26951,,THYBOROEN
26951,,SKAGEN
26956,,COPENHAGEN KASTRUP
26956,,SKAGEN
26957,,COPENHAGEN KASTRUP
26961,,SKAGEN
26965,,SKAGEN
26968,,THYBOROEN
26968,9,AALBORG
26969,,THYBOROEN
26971,,COPENHAGEN KASTRUP
26971,8,AALBORG
26980,,SKAGEN
26981,,SKAGEN
26984,,SKAGEN
26988,,COPENHAGEN KASTRUP
26988,,THYBOROEN
