id,tipo,clasificacion,descripcionresumida,responsable,calle,altura,letra,bis,coordenadax,coordenaday,GEOJSON
75074,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública-Metálico Verde Trasera,Lime,COCHABAMBA,5350,,0,5434893.25,6354634.91,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.696272, -32.949214 ] } }"
75057,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,CAMPBELL,2351,,0,5433880.28,6353855.65,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.707160, -32.956179 ] } }"
75104,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ROMERO DE PINEDA,6350,,0,5439273.18,6347866.44,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.649881, -33.010492 ] } }"
75103,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,MORENO MARIANO ,6451,,0,5438210.17949671,6347573.0714255,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661276, -33.013077 ] } }"
75061,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,CASABLANCA CORNELIO,751,,0,5439999.91,6351180.61,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.641888, -32.980651 ] } }"
75100,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,ESPERANTO,350,,0,5440416.94,6350333.01,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.637482, -32.988316 ] } }"
75066,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,CENTENO CRNEL. DAMASO,1950,,0,5438346.77,6350958.24,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659587, -32.982564 ] } }"
75058,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,CANALS JUAN,2050,,0,5438113.43,6350475.36,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662116, -32.986904 ] } }"
75101,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,MORENO MARIANO ,3951,,0,5438339.91071454,6351142.74312693,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659648, -32.980900 ] } }"
75093,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,DORREGO MANUEL,4150,,0,5438384.12,6350868.99,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659194, -32.983371 ] } }"
119629,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ROCA PTE. JULIO ARGENTINO,3471,,0,5438976.36646778,6351649.01436177,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.652806, -32.976371 ] } }"
119628,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ROCA PTE. JULIO ARGENTINO,3355,,0,5439006.12892399,6351796.96470839,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.652478, -32.975039 ] } }"
119625,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ROCA PTE. JULIO ARGENTINO,3095,,0,5439076.74732471,6352134.1285091,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.651700, -32.972003 ] } }"
119618,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,PARAGUAY,3544,,0,5439058.18859609,6351537.60819541,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.651938, -32.977380 ] } }"
119617,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,PARAGUAY,3474,,0,5439076.0412008,6351622.81629665,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.651742, -32.976613 ] } }"
75067,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,CENTENO CRNEL. DAMASO,1020,,0,5439622.99,6350695.8,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.645952, -32.985001 ] } }"
75094,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,DORREGO MANUEL,6150,,0,5438283.58,6348054.67,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.660458, -33.008739 ] } }"
75097,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,NUESTRA SRA DEL ROSARIO,2050,,0,5438061.93,6348982.61,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662768, -33.000360 ] } }"
75088,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,DE LA QUINTANA HILARION,2051,,0,5438066.52,6348846.91,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662728, -33.001584 ] } }"
75102,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,MORENO MARIANO ,5151,,0,5438130.72776639,6349262.91736249,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662013, -32.997837 ] } }"
75092,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,DORREGO MANUEL,5350,,0,5438242.69,6349040.78,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.660830, -32.999846 ] } }"
75111,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,FUNES DEAN GREGORIO,2650,,0,5437670.78,6352159.19,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.666737, -32.971697 ] } }"
75115,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,GABOTO SEBASTIAN,2250,,0,5438225.95,6352309.78,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.660789, -32.970371 ] } }"
75119,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,GALVEZ JOSE,2950,,0,5437446.98,6353001.8,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.669074, -32.964087 ] } }"
75106,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,FRAGA CNEL. ROSENDO MARIA,1951,,0,5433647.34,6354372.23,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.709614, -32.951507 ] } }"
75136,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,LA PAZ,6251,,0,5433915.58,6353908.21,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.706779, -32.955707 ] } }"
75138,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,LAINEZ MANUEL,771,,0,5439606.53,6348440.65,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.646276, -33.005333 ] } }"
